epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,3474.21,0.28751,0.19212,0.89417,0.9994,1,0.995,0.99151,0.15347,0.1043,0.75257,0.000445756,0.000445756,0.000445756
150,3497.64,0.29084,0.18801,0.88501,0.9994,1,0.995,0.99152,0.15067,0.10272,0.75216,0.000437504,0.000437504,0.000437504
151,3521.06,0.28998,0.19317,0.89437,0.99936,1,0.995,0.99311,0.15652,0.10541,0.75212,0.000429253,0.000429253,0.000429253
152,3544.46,0.28404,0.19002,0.88582,0.99939,1,0.995,0.99232,0.14929,0.10362,0.75073,0.000421001,0.000421001,0.000421001
153,3567.89,0.29067,0.18907,0.89025,0.9994,1,0.995,0.99165,0.14654,0.10491,0.75092,0.000412749,0.000412749,0.000412749
154,3591.31,0.28527,0.19381,0.89052,0.99941,1,0.995,0.99084,0.15391,0.10139,0.75228,0.000404498,0.000404498,0.000404498
155,3614.69,0.28808,0.19336,0.88961,0.99939,1,0.995,0.99217,0.15254,0.1053,0.75245,0.000396246,0.000396246,0.000396246
156,3638.1,0.29327,0.19732,0.89127,0.9994,1,0.995,0.99221,0.15161,0.10525,0.75289,0.000387994,0.000387994,0.000387994
157,3661.55,0.27897,0.18573,0.88183,0.99938,1,0.995,0.99288,0.15007,0.10659,0.75278,0.000379743,0.000379743,0.000379743
158,3685.02,0.2974,0.19229,0.89786,0.99938,1,0.995,0.99259,0.14469,0.10454,0.752,0.000371491,0.000371491,0.000371491
159,3708.46,0.28462,0.18795,0.88434,0.99938,1,0.995,0.99407,0.14705,0.10603,0.75156,0.000363239,0.000363239,0.000363239
160,3731.88,0.28978,0.18857,0.89019,0.99939,1,0.995,0.99404,0.15352,0.0996,0.75007,0.000354988,0.000354988,0.000354988
161,3755.18,0.28407,0.18873,0.8931,0.99938,1,0.995,0.99339,0.153,0.10104,0.75332,0.000346736,0.000346736,0.000346736
162,3778.52,0.27173,0.18096,0.88173,0.99941,1,0.995,0.98971,0.15236,0.1016,0.75307,0.000338484,0.000338484,0.000338484
163,3801.87,0.2633,0.1883,0.87062,0.99938,1,0.995,0.99277,0.14912,0.09781,0.75067,0.000330233,0.000330233,0.000330233
164,3825.38,0.26507,0.18525,0.87475,0.99939,1,0.995,0.99345,0.14439,0.0969,0.75003,0.000321981,0.000321981,0.000321981
165,3848.84,0.27496,0.18574,0.88234,0.99939,1,0.995,0.99153,0.14507,0.09713,0.75114,0.000313729,0.000313729,0.000313729
166,3872.3,0.2742,0.18409,0.87938,0.99939,1,0.995,0.99348,0.14727,0.09927,0.74995,0.000305478,0.000305478,0.000305478
167,3895.8,0.2733,0.18052,0.87647,0.99938,1,0.995,0.99419,0.1405,0.09416,0.74983,0.000297226,0.000297226,0.000297226
168,3919.24,0.28002,0.18834,0.88261,0.99939,1,0.995,0.99239,0.15118,0.10011,0.75141,0.000288974,0.000288974,0.000288974
169,3942.69,0.27049,0.18087,0.87616,0.99939,1,0.995,0.99404,0.14322,0.09586,0.74971,0.000280723,0.000280723,0.000280723
170,3966.15,0.27251,0.1793,0.87804,0.9994,1,0.995,0.99415,0.1399,0.09833,0.74983,0.000272471,0.000272471,0.000272471
171,3989.6,0.29005,0.18863,0.88877,0.99938,1,0.995,0.99253,0.13904,0.09439,0.75084,0.00026422,0.00026422,0.00026422
172,4013.03,0.26811,0.17933,0.88205,0.9994,1,0.995,0.99217,0.14379,0.09753,0.75122,0.000255968,0.000255968,0.000255968
173,4036.32,0.2714,0.18548,0.88362,0.99939,1,0.995,0.99185,0.14673,0.09585,0.75235,0.000247716,0.000247716,0.000247716
174,4059.78,0.25279,0.17345,0.87747,0.9994,1,0.995,0.99192,0.14123,0.09287,0.75074,0.000239465,0.000239465,0.000239465
175,4083.25,0.27619,0.1901,0.88955,0.9994,1,0.995,0.99304,0.14562,0.09177,0.75131,0.000231213,0.000231213,0.000231213
176,4106.71,0.27174,0.18212,0.87773,0.99939,1,0.995,0.99304,0.14537,0.09212,0.75184,0.000222961,0.000222961,0.000222961
177,4130.14,0.27941,0.18887,0.88424,0.99939,1,0.995,0.99294,0.14455,0.09126,0.75118,0.00021471,0.00021471,0.00021471
178,4153.56,0.26599,0.17912,0.88083,0.9994,1,0.995,0.99355,0.1449,0.09294,0.75084,0.000206458,0.000206458,0.000206458
179,4177,0.25368,0.17542,0.88086,0.99939,1,0.995,0.99375,0.13759,0.08884,0.74924,0.000198206,0.000198206,0.000198206
180,4200.32,0.26404,0.17579,0.8748,0.99939,1,0.995,0.99417,0.13961,0.08717,0.7487,0.000189955,0.000189955,0.000189955
181,4223.7,0.26763,0.17782,0.87702,0.9994,1,0.995,0.99417,0.13877,0.08555,0.74966,0.000181703,0.000181703,0.000181703
182,4247.06,0.26402,0.17277,0.87606,0.99939,1,0.995,0.99207,0.13811,0.0903,0.74953,0.000173451,0.000173451,0.000173451
183,4270.4,0.27341,0.17933,0.88383,0.99939,1,0.995,0.9935,0.1394,0.09161,0.74927,0.0001652,0.0001652,0.0001652
184,4293.75,0.24702,0.16528,0.87335,0.99939,1,0.995,0.99357,0.14035,0.08681,0.74929,0.000156948,0.000156948,0.000156948
185,4317.07,0.25586,0.17179,0.87805,0.99938,1,0.995,0.99221,0.14135,0.09019,0.74964,0.000148696,0.000148696,0.000148696
